gene_id	ERR279692	ERR279673	ERR279674	ERR279675	ERR279676	ERR279677	ERR279678	ERR279679	ERR279680	ERR279681	ERR279682	ERR279683	ERR279685	ERR279684	ERR279686	ERR279687	ERR279688	ERR279689	ERR279690	ERR279691
WBGene00292599	33.81	29.62	37.96	27.54	50.39	55.12	42.27	60.11	45.29	24.93	28.34	14.27	14.99	16.24	21.76	33.56	21.42	26.06	38.11	38.1
WBGene00292600	101.08	80.37	92.23	80.27	48.2	59.34	47.52	47.04	32.33	24.42	39.14	54.1	45.3	51.72	34.46	52.76	37.9	26.67	26.7	38.92
WBGene00292601	0.62	0.36	0.24	0	0.24	0.9	0.53	1.16	0.68	0	0.32	0	0.61	0.61	0	0.25	0.16	0.65	0.58	1.2
WBGene00292602	11.21	23.33	30.85	27.32	6.85	7.48	4.56	7.14	5.38	3.24	3.2	10.42	11.01	10.9	2.4	3.05	2.01	5.52	7.27	5.34
WBGene00292603	3.7	1.09	2.93	2.11	4.56	5.89	3.16	5.48	4.81	1.7	1.35	0.77	0.66	0	1.9	3.62	0.54	4.82	8.09	5.98
WBGene00292605	32.02	17.88	22.83	24.23	23.07	25.29	24.89	21.82	11.95	17.06	20.45	10.92	11.97	12.4	24.55	27.6	20.05	9.74	14.91	15.89
WBGene00292608	37.33	21.74	43.2	26.63	25.66	29.1	18.54	24.78	15.42	19.45	17.38	8.07	10.06	8.83	18.87	25.05	18.54	15.37	23.05	19.52
WBGene00292609	82.8	49.05	73.29	62.53	100.86	107.15	73.81	133.91	95.85	34.31	34.72	8.72	6.51	7.46	46.09	60.7	47.45	84.31	106.91	91.3
WBGene00292611	24.99	34.1	32.93	34.26	0.66	0.98	0.77	0.95	0.6	0.1	0.13	0.65	0.5	0.41	0.13	0.27	0.09	0.18	1	0.92
WBGene00292612	33.71	7.4	8.12	12.47	24.38	24.35	17.55	48.4	32.88	1.85	1.96	6.37	5.79	5.58	2.84	3.95	3.29	26.99	37.98	30.84
WBGene00292614	5.39	2.24	3.76	3.8	2.98	3.38	1.81	3.29	1.75	0.72	0.49	0.92	1.26	2.5	1.47	2.05	0.81	1.78	1.19	2.72
WBGene00292616	106.23	49.53	67.86	60.58	51.95	58.81	43.24	61.02	40.87	20.15	25.88	16.99	16.86	18.78	21.92	33.16	20.46	32.25	41.93	44.27
WBGene00292618	17.98	10.29	16.1	12.57	12.79	13.23	10.49	19.82	12.95	2.51	3.32	3.49	2.84	2.92	3.86	4.48	4.72	11.96	17.86	17.46
WBGene00292619	58.78	29.88	39.56	38.11	38.24	44.04	34.09	65.46	43.86	11.28	16.63	12.22	12.03	12.88	12.81	19.93	13.42	31.47	40.73	42
WBGene00292620	96.31	54.13	76.52	55.02	52.8	62.38	51.38	84.6	53.74	18.96	25.43	14.46	17.3	19.99	17.72	24.61	16.97	35.23	48.75	54.02
WBGene00292621	73.65	24.84	28.39	27.04	30.04	33.77	26.18	35.14	22.31	11.01	15.35	9.52	7.88	7.6	15.23	22.41	14.16	22.76	29.6	30.27
WBGene00292623	153.41	98.52	136.76	110.13	83.06	106.19	83.77	82.28	60.5	39.48	56.21	36.13	40.44	45.15	37.6	75	42.35	40.78	51.28	59.16
WBGene00292624	25.21	9.3	8.12	8.72	19.65	22.21	18.34	43.29	34.31	1.08	1.63	3.5	3.24	3.24	1.77	2.6	1.72	21.64	25.96	33.24
WBGene00292625	18.65	11.95	20.47	16.11	17.11	20.2	11.37	9.21	6.05	12.3	9.65	15.38	15.99	15.34	8.4	13.17	10.87	5.7	6.03	5.9
WBGene00292627	0	1.23	1.65	1.11	6.01	8.1	7.54	20.36	13.07	0.26	0.36	0	0	0	0	0	0.71	9.78	14.79	18.48
WBGene00292628	143.77	78.55	119.8	93.02	76.58	90.38	67.02	127.02	76.75	29.11	32.18	13.49	20.5	28.36	23.34	41.96	22.75	47.89	73.46	77.08
WBGene00292629	3.98	3.23	3.69	2.85	128.87	124.35	103.14	287.33	231.23	1.66	3.44	3.18	2.39	1.49	3.53	3.65	2.88	103.54	157.01	164.03
WBGene00292630	35.49	24.86	25.72	24.03	26.97	28.4	27.26	39.55	22.69	14.72	16.77	10.92	11.9	14.03	20.45	24.92	22.8	26.23	29.21	24.96
WBGene00292631	6.45	5.33	5.48	4.69	5.88	7.59	4.79	10.7	7.2	2.22	3.05	2.13	1.26	1.61	3.61	3.09	1.96	5.61	7.59	6.81
WBGene00292632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00292633	0.2	0	0.31	0	0	0	0	0.37	0.11	0	0	0	0	0	0	0	0	0	0	0.31
WBGene00292634	35.71	23.07	24.92	22.34	28.21	27.65	27.07	36.43	23.52	9.44	13.9	8.06	6.27	7.01	9.27	15.57	9.63	13.03	22.26	22.31
WBGene00292641	37.32	25.14	30.59	28.56	34.88	40.84	35.6	40.25	29.26	14.92	22.62	4.48	6.24	8.14	18.77	30.23	17.64	21.16	29.38	39.32
WBGene00292644	11.36	0	0	4.08	7.12	13.76	5.82	5.35	3.45	3.22	4.36	2.2	4.52	5.03	8.76	10.07	7.83	6.77	10.28	6.64
WBGene00292645	74.02	43.6	48.06	35.61	33.62	50.12	33.66	34.21	25.96	22.68	29.46	11.14	13.41	15.21	20.03	38.72	24.55	20.64	23.57	26.77
WBGene00292646	23.5	18.31	19.98	23.5	17.73	17.64	14.33	22.05	12.62	9.07	9.24	5.5	4.84	3.73	10.52	17.93	10.85	15.25	19.33	17.06
WBGene00292648	31.8	14.49	25.33	19.06	57.1	57.45	45.06	121.33	92.1	8.11	10.31	4.06	3.46	3.9	7.83	12.29	7.73	44.81	58.46	66.76
WBGene00292649	30.38	6.91	8.09	9.23	16.02	17.16	13.95	26.9	18.72	9.24	11.57	6.39	6.39	6.91	13.96	21.9	12.89	18.92	21.76	24.61
WBGene00292650	20.74	9.12	13.49	14.1	9.84	10.56	8.86	9.43	5.72	5.39	6.3	3.34	3.81	4.51	6.37	9.57	6.22	7.12	9.43	8.5
WBGene00292651	28.02	14.21	15.99	14.8	14.44	18.26	15.39	16.13	9.67	6.98	11.63	4.64	3.49	4.08	8.05	14.61	7.6	6.15	7.27	9.18
WBGene00292652	5.57	1.79	2.8	2.02	0.4	0.74	0.58	1.67	0.28	0	0.26	0	0.25	0	1.17	1.02	0.91	1.07	0.79	1.38
WBGene00292653	45.74	33.67	40.41	33.61	23.76	26.69	19.35	23.85	16.92	11.51	13.82	20.77	14.57	16.04	13.27	24.02	13.72	14.23	20.77	19.19
WBGene00292654	0	0.11	0.28	0	21.47	19.96	16.43	62.15	42.87	0.07	0.09	0	0.09	0	0	0	0.09	23.37	36.12	30.73
WBGene00292655	37.06	25.6	34.09	29.85	25.35	31.45	24.7	34.1	20.07	12.89	15.85	6.41	5.92	7.63	13.39	19.64	13.72	17.97	24.48	25.85
WBGene00292658	89.54	49.18	78.97	58.23	52.44	65.56	41.7	61.32	46.42	22.63	24.09	9.1	10.72	11.26	17.77	30.74	19.41	27.32	39.71	43.31
WBGene00292659	240.74	160.41	202.52	160.72	99.41	134.32	101.88	121.75	87.78	44.43	61.73	46.64	66.03	72.26	44.3	73.39	46.99	55.16	67.89	87.46
WBGene00292660	30.97	13.75	18.57	16.22	18.41	22.2	17.24	27.31	19.87	7.02	8.62	3.62	3.94	3.83	6.74	8.36	5.96	14.16	17	17.65
WBGene00292661	40.88	15.14	18.91	14.89	16.76	19.3	16.99	16.69	10.58	5.61	6.84	3.06	4.3	3.73	5.31	7.3	5.6	8.58	11.25	12.41
WBGene00292663	86.23	29.9	49.09	44.7	59.2	66.2	55.58	86.72	61.1	23.02	33.66	17.2	17.52	16.17	28.85	50.15	32.43	44.36	61.47	55.63
WBGene00292664	86.2	39.11	75.52	64.4	70.77	85.8	57.91	99.7	79.37	28.59	34.26	21.68	17.53	17.78	28.89	39.2	29.91	40.67	56.2	46.12
WBGene00292665	43.49	10.52	15.35	17.36	10.35	11.29	8.41	14.65	10.28	2.93	6.75	2.25	2.32	2.29	5.99	11.89	5.16	8.18	10.67	12.72
WBGene00292666	4.05	2.14	4.16	3.88	2.22	3.92	3.23	6.11	4.02	0.61	0.21	0	1.81	0.4	0.83	1.63	0.83	5.4	4.04	4.42
WBGene00292667	12.64	9.31	6.25	10.72	5.88	10.34	2.7	7.08	3.49	1.79	3.03	4.97	2.95	3.5	2.84	5.41	3.23	4.71	6.66	8.32
WBGene00292668	83.97	38	57.75	56.31	49.68	52.91	46.55	56.93	43.69	32.42	34.47	18.32	29.54	32.63	35.49	41.68	35.79	35.06	41.31	40.05
WBGene00292669	39.99	22.84	29.26	30.62	31.01	36.07	25.81	47.54	34.62	13.44	17.04	8.02	9.07	9.91	16.66	23.26	17.1	23.24	34.27	30.37
WBGene00292670	444.11	577.04	682.95	586.44	339.56	409.49	297.91	472.76	262.94	200.29	234.7	86.43	147.13	159.42	229.64	275.67	242.09	254.61	235.32	291.35
WBGene00292671	0.44	1.27	1.64	2.01	1.22	2.16	0.84	2.38	1.55	1.32	1.33	1.58	1.44	1.83	1.83	2.09	1.52	2.29	2.55	2.72
WBGene00292672	1.88	0.64	0.74	1.37	1.47	0.76	0.8	2.51	1.64	0.47	0.56	0.76	1.32	1.08	1.29	1.77	1.52	2.63	2.25	3.29
WBGene00292673	0	0	0	0.5	0	0	0	0	0	0	0	0	0.31	0	0	0	0	0	0	0
WBGene00292675	1.14	1.61	1.62	1.63	7.31	7.72	5.57	21.24	14.68	2.41	1.63	0.66	2.04	2.69	3.27	3.48	4.07	15.97	16.34	14.38
